filename,contamination_level,contamination_score,area_ratio,color_intensity
1.jpg,1,0.07953079366828882,0.06523145847037656,0.10097979646515719
10.jpg,3,0.2495081136072772,0.38378787458849545,0.048088472135449825
102.jpg,0,0.0,0.0,0.0
110.jpg,0,0.0,0.0,0.0
12.jpg,3,0.26778568475766795,0.4252416666666667,0.03160171189416992
129.jpg,0,0.0,0.0,0.0
13.jpg,3,0.3593362955654029,0.48563819444444445,0.1698834472468407
135.jpg,0,0.0,0.0,0.0
137.jpg,0,0.0,0.0,0.0
14.jpg,3,0.4834796823324683,0.7683798297482574,0.05612946120878486
17.jpg,3,0.36933671011670177,0.477377829218107,0.20727503146459392
2.jpg,3,0.34271173913222575,0.41232767489711936,0.2382878354848853
20.jpg,3,0.38130703690655565,0.5266208333333333,0.1633363422663891
22.jpg,2,0.19628549844309903,0.3066077371048253,0.03080214045050959
24.jpg,3,0.2408080550783315,0.34860416666666666,0.07911388769582872
3.jpg,3,0.35466784596765605,0.4217592592592593,0.25403072603025123
31.jpeg,3,0.36620016183840176,0.49459778743093413,0.17360372344960315
38.jpeg,3,0.3170145360947609,0.34331388888888886,0.27756550690356896
4.jpg,3,0.3609521710735648,0.39377250514403295,0.31172166996786266
5.jpg,3,0.3441977547741817,0.39816550925925925,0.26324612304656525
53.jpg,2,0.13985086151422005,0.1448328619716272,0.1323778608281093
60.jpg,1,0.010412604372150028,0.013965346541285792,0.005083491118446385
65.jpg,1,0.022102269113714,0.02599612282109646,0.01626148855264031
76.jpg,2,0.12532682848475155,0.18236301873690652,0.03977254310651907
81.jpg,0,0.0,0.0,0.0
86.jpg,0,0.0,0.0,0.0
87.jpg,0,0.0,0.0,0.0
89.jpg,0,0.0,0.0,0.0
9.jpg,3,0.22665971746955182,0.29004583333333334,0.13158054367387956
94.jpg,0,0.0,0.0,0.0
